customers,capacity_lb,fleet_factor,vehicles,solver,runtime,objective,best_bound,gap,status
25,3,20%,4,Gurobi,0.003999948501586914,,inf,,Infeasible
25,3,50%,5,Gurobi,0.003999948501586914,,inf,,Infeasible
25,3,100%,25,Gurobi,0.009999990463256836,4880.216810365354,4880.216810365354,0.0,Optimal
50,5,20%,6,Gurobi,0.006999969482421875,,inf,,Infeasible
50,5,50%,8,Gurobi,0.006000041961669922,,inf,,Infeasible
50,5,100%,50,Gurobi,0.012000083923339844,9817.741898948725,9817.741898948725,0.0,Optimal
100,9,20%,11,Gurobi,0.018000125885009766,,inf,,Infeasible
100,9,50%,14,Gurobi,0.017000198364257812,,inf,,Infeasible
100,9,100%,100,Gurobi,0.01900005340576172,20252.422557255602,20252.422557255602,0.0,Optimal
150,14,20%,17,Gurobi,0.24699997901916504,,inf,,Infeasible
150,14,50%,21,Gurobi,0.28799986839294434,,inf,,Infeasible
150,14,100%,150,Gurobi,0.0409998893737793,30299.79321257769,30299.79321257769,0.0,Optimal
200,18,20%,22,Gurobi,0.12199997901916504,,inf,,Infeasible
200,18,50%,27,Gurobi,0.557999849319458,,inf,,Infeasible
200,18,100%,200,Gurobi,0.054000139236450195,40380.974130976414,40380.974130976414,0.0,Optimal
250,23,20%,28,Gurobi,0.17499995231628418,,inf,,Infeasible
250,23,50%,35,Gurobi,0.8670001029968262,,inf,,Infeasible
250,23,100%,250,Gurobi,0.11800003051757812,51067.492082344186,51067.492082344186,0.0,Optimal
300,28,20%,34,Gurobi,0.2799999713897705,,inf,,Infeasible
300,28,50%,42,Gurobi,1.496000051498413,,inf,,Infeasible
300,28,100%,300,Gurobi,0.14700007438659668,61623.708438165995,61623.708438165995,0.0,Optimal
350,33,20%,40,Gurobi,0.42599987983703613,,inf,,Infeasible
350,33,50%,50,Gurobi,6.23799991607666,12625.08367461883,12625.08367461883,0.0,Optimal
350,33,100%,350,Gurobi,0.18499994277954102,72450.53638356893,72450.53638356893,0.0,Optimal
400,37,20%,45,Gurobi,0.5970001220703125,,inf,,Infeasible
400,37,50%,56,Gurobi,7.855999946594238,13247.060815765224,13247.060815765224,0.0,Optimal
400,37,100%,400,Gurobi,0.252000093460083,83020.87147567076,83020.87147567076,0.0,Optimal
450,42,20%,51,Gurobi,2.569000005722046,,inf,,Infeasible
450,42,50%,63,Gurobi,8.63100004196167,13759.204640159174,13759.204640159172,0.0,Optimal
450,42,100%,450,Gurobi,0.33700013160705566,94311.82709437335,94311.82709437335,0.0,Optimal
500,47,20%,57,Gurobi,18.05900001525879,,inf,,Infeasible
500,47,50%,71,Gurobi,7.144999980926514,14353.88730899933,14352.767344088727,0.007802519878372166,Optimal
500,47,100%,500,Gurobi,0.40000009536743164,105816.45409334867,105816.45409334867,0.0,Optimal
