customers,capacity_lb,fleet_factor,vehicles,solver,runtime,objective,best_bound,gap,status
25,3,20%,4,Gurobi,0.010999917984008789,,inf,,Infeasible
25,3,50%,5,Gurobi,0.02500009536743164,,inf,,Infeasible
50,5,20%,6,Gurobi,0.006999969482421875,,inf,,Infeasible
50,5,50%,8,Gurobi,0.009999990463256836,,inf,,Infeasible
100,10,20%,12,Gurobi,0.06800007820129395,,inf,,Infeasible
100,10,50%,15,Gurobi,0.1510000228881836,,inf,,Infeasible
150,14,20%,17,Gurobi,0.20799994468688965,,inf,,Infeasible
150,14,50%,21,Gurobi,0.2709999084472656,,inf,,Infeasible
200,19,20%,23,Gurobi,0.5550000667572021,,inf,,Infeasible
200,19,50%,29,Gurobi,0.5279998779296875,,inf,,Infeasible
250,23,20%,28,Gurobi,1.0290000438690186,,inf,,Infeasible
250,23,50%,35,Gurobi,2.0169999599456787,,inf,,Infeasible
300,28,20%,34,Gurobi,2.134999990463257,,inf,,Infeasible
300,28,50%,42,Gurobi,3.93500018119812,11321.183827820927,11321.183827820925,0.0,Optimal
350,32,20%,39,Gurobi,2.7199997901916504,,inf,,Infeasible
350,32,50%,48,Gurobi,8.103999853134155,12385.477519130643,12385.477519130256,3.1282180469571655e-12,Optimal
400,37,20%,45,Gurobi,4.77400016784668,,inf,,Infeasible
400,37,50%,56,Gurobi,9.52999997138977,13051.440485936255,13050.68044734465,0.005823407710618721,Optimal
450,42,20%,51,Gurobi,41.812000036239624,,inf,,Infeasible
450,42,50%,63,Gurobi,10.20799994468689,13814.784382316908,13814.784382316906,0.0,Optimal
500,46,20%,56,Gurobi,42.76800012588501,14498.071371173892,14496.71194954821,0.009376568723377537,Optimal
500,46,50%,69,Gurobi,9.196000099182129,14195.902239599565,14194.532945949231,0.009645696534273643,Optimal
