customers;k_ref;fleet_factor;vehicles;runtime;objective;status
25;7;+20%;9;1800.01;;Timeout
25;7;+50%;11;1800.0;2393.21524496;Suboptimal
50;10;+20%;12;1800.01;;Timeout
50;10;+50%;15;1800.0;;Timeout
100;17;+20%;21;1800.01;;Timeout
100;17;+50%;26;1800.01;;Timeout
200;31;+20%;38;1800.03;;Timeout
200;31;+50%;47;1800.03;;Timeout
300;38;+20%;46;1800.06;;Timeout
300;38;+50%;57;1800.08;;Timeout
400;49;+20%;59;1800.04;;Timeout
400;49;+50%;74;1800.03;;Timeout
500;56;+20%;68;1800.28;;Timeout
500;56;+50%;84;1800.14;;Timeout
